0.002	0.224	0.385	0.703
0.989	0.225	0.43	0.592
0.107	0.669	0.457	0.309
0.616	0.221	0.107	0.213
0.311	0.014	0.041	0.431
0.077	0.696	0.482	0.329
0.4	0.294	0.161	0.266
0.735	0.111	0.181	0.334
0.03	0.802	0.587	0.43
0.168	0.612	0.404	0.264
0.712	0.312	0.265	0.329
0.557	0.221	0.002	0.167
0.49	0.396	0.29	0.11
0.43	0.412	0.206	0.085
0.577	0.201	0.019	0.187
0.29	0.483	0.272	0.138
0.203	0.109	0.092	0.145
0.558	0.22	0.001	0.168
0.201	0.572	0.358	0.207
0.773	0.76	0.463	0.738
0.032	0.743	0.528	0.371
0.644	0.201	0.123	0.241
0.579	0.314	0.172	0.193
0.019	0.786	0.571	0.414
0.796	0.265	0.297	0.4
0.137	0.008	0.772	0.77
0.338	0.44	0.222	0.073
0.541	0.237	0.018	0.151
0.844	0.097	0.285	0.447
0.79	0.004	0.478	0.159
0.672	0.105	0.133	0.299
0.315	0.401	0.558	0.25
0.432	0.436	0.235	0.116
0.545	0.39	0.219	0.287
0.029	0.21	0.152	0.219
0.877	0.125	0.318	0.479
0.663	0.288	0.212	0.274
0.574	0.178	0.311	0.4
0.007	0.774	0.559	0.403
0.822	0.084	0.284	0.451
0.011	0.776	0.561	0.404
0.606	0.455	0.325	0.291
0.032	0.791	0.575	0.416
0.773	0.0	0.219	0.387
0.621	0.208	0.101	0.218
0.697	0.138	0.148	0.295
0.322	0.169	0.711	0.298
0.206	0.22	0.771	0.351
0.019	0.755	0.541	0.385
0.925	0.246	0.367	0.414
0.823	0.088	0.286	0.454
0.56	0.289	0.126	0.162
0.291	0.411	0.401	0.013
0.822	0.28	0.323	0.427
0.566	0.371	0.223	0.205
0.836	0.274	0.33	0.439
0.77	0.404	0.171	0.399
0.099	0.678	0.467	0.319
0.403	0.387	0.168	0.001
0.552	0.212	0.557	0.167
0.068	0.841	0.312	0.839
0.973	0.21	0.414	0.576
0.466	0.617	0.973	0.427
